Policy_Cancelled_Post_Purchase,Policy_Start_Year,Policy_Start_Week,Grace_Period_Extensions,Previous_Policy_Duration_Months,Adult_Dependents,Child_Dependents,Infant_Dependents,Existing_Policyholder,Previous_Claims_Filed,Years_Without_Claims,Policy_Amendments_Count,Underwriting_Processing_Days,Vehicles_on_Policy,Custom_Riders_Requested,Days_Since_Quote,Purchased_Coverage_Bundle,Total_Dependents,Has_Children,Employer_ID_Present,Broker_ID_Missing,Underwriting_Delayed,Fast_Buyer,log_Income,log_Income_Per_Dependent,Risk_Score,Indecision_Score,Policy_Complexity,Month_Num,Month_Sin,Month_Cos,Week_Sin,Week_Cos,Deductible_Tier_Ord,Agency_National,Emp_Employed_FullTime,Emp_Self_Employed,Emp_Unemployed,Acq_Aggregator_Site,Acq_Corporate_Partner,Acq_Direct_Website,Acq_Local_Broker,Broker_ID_TargetEnc,Region_TargetEnc,Employer_ID_TargetEnc
1,2016,50,0,3,2,0.0,0,0,0,0,0,0,0,0,28,2,2.0,0,0,0,0,0,10.176142150978345,9.077605994983635,0,0,0,4,0.8660254037844387,-0.4999999999999998,-0.2393156642875578,0.970941817426052,4,0,1,0,0,1,0,0,0,2.8276990465078673,2.763301166205812,2.7721016236441542
0,2016,10,0,2,2,0.0,0,0,0,0,0,0,1,0,4,4,2.0,0,0,0,0,1,10.100540895077245,9.002010717720918,0,0,0,7,-0.4999999999999997,-0.8660254037844388,0.9350162426854148,0.35460488704253557,1,1,1,0,0,0,0,1,0,3.660579193778752,2.6246346197067454,2.7718757197912924
0,2016,9,1,0,1,0.0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,0,0,1,9.47533041683226,8.782259954688149,1,0,0,6,1.2246467991473532e-16,-1.0,0.8854560256532099,0.4647231720437686,1,1,1,0,0,1,0,0,0,2.728583246565186,2.6246346197067454,2.7718757197912924
0,2015,40,1,1,2,0.0,0,0,0,0,0,0,0,0,178,2,2.0,0,0,0,0,0,9.91122851383576,8.812715449137068,1,0,0,2,0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,1,0,0,1,0,0,0,0,0,2.237876698172329,2.760403058319625,2.7718757197912924
1,2017,16,1,3,2,0.0,0,0,0,0,0,0,0,2,178,2,2.0,0,0,0,0,0,10.353578610942114,9.255030077250899,1,0,2,8,-0.8660254037844384,-0.5000000000000004,0.9350162426854148,-0.35460488704253545,2,1,1,0,0,1,0,0,0,2.731333256828505,2.86132218605078,2.771069059750662
0,2017,35,0,1,1,0.0,0,0,0,0,0,0,0,0,29,4,1.0,0,1,1,0,0,10.280781212248861,9.587668316835051,0,0,0,12,-2.4492935982947064e-16,1.0,-0.8854560256532096,-0.4647231720437691,1,0,1,0,0,0,1,0,0,2.581251174118251,2.6243312997633286,2.7532037622504446
0,2016,21,2,5,2,0.0,0,0,0,0,0,0,0,0,303,2,2.0,0,0,0,0,0,9.396230553647163,8.297784324146315,2,0,0,9,-1.0,-1.8369701987210297e-16,0.5680647467311558,-0.8229838658936564,1,1,0,0,0,0,0,0,1,2.9775235681385053,2.8903002604354273,2.773039070400976
0,2016,33,1,4,3,0.0,0,0,0,0,2,0,1,2,151,4,3.0,0,0,0,0,0,10.753442308818903,9.367212060784258,1,302,4,12,-2.4492935982947064e-16,1.0,-0.7485107481711011,-0.6631226582407952,1,0,1,0,0,1,0,0,0,2.836790606428774,2.8220006343972877,2.7718757197912924
1,2017,19,1,1,1,0.0,0,0,0,0,0,10,0,0,84,2,1.0,0,0,0,1,0,10.512878597508934,9.819758600671811,1,0,0,9,-1.0,-1.8369701987210297e-16,0.7485107481711013,-0.663122658240795,1,0,1,0,0,0,0,0,0,2.727103387497996,2.6246346197067454,2.7718757197912924
1,2016,16,1,2,2,0.0,0,0,0,0,0,0,0,0,51,4,2.0,0,0,0,0,0,10.687272879565965,9.588706257262599,1,0,0,8,-0.8660254037844384,-0.5000000000000004,0.9350162426854148,-0.35460488704253545,1,0,1,0,0,1,0,0,0,2.8342841875511606,2.706109001983848,2.771069059750662
